course_id,division,department_id,letter,day,room_number,
MA102,I,MA,C1,Monday,L2,
MA102,I,MA,C1,Monday,L3,
MA102,III,MA,C,Monday,L2,
MA102,IV,MA,C,Monday,L3,
MA102,I,MA,C1,Tuesday,L2,
MA102,I,MA,C1,Tuesday,L3,
MA102,III,MA,C,Tuesday,L2,
MA102,IV,MA,C,Tuesday,L3,
MA102,I,MA,C1,Thursday,L2,
MA102,I,MA,C1,Thursday,L3,
MA102,III,MA,C,Thursday,L2,
MA102,IV,MA,C,Thursday,L3,
MA102,I,MA,C1,Friday,L2,
MA102,I,MA,C1,Friday,L3,
MA102,III,MA,C,Friday,L2,
MA102,IV,MA,C,Friday,L3,
CS222,NA,CSE,A,Monday,L4,
CS222,NA,CSE,A,Tuesday,L4,
CS222,NA,CSE,A,Wednesday,L4,
CS222,NA,CSE,A,Thursday,L4,
MA224,NA,MA,D,Monday,1103,
MA224,NA,MA,D,Wednesday,1103,
MA224,NA,MA,D,Thursday,1103,
MA224,NA,MA,D,Friday,1103,
MA252,NA,MA,B,Monday,1103,
MA252,NA,MA,B,Tuesday,1103,
MA252,NA,MA,B,Wednesday,1103,
MA252,NA,MA,B,Friday,1103,
MA271,NA,MA,C,Monday,1103,
MA271,NA,MA,C,Tuesday,1103,
MA271,NA,MA,C,Thursday,1103,
MA271,NA,MA,C,Friday,1103,
MA212M,NA,MA,F,Monday,1103,
MA212M,NA,MA,F,Wednesday,1103,
MA212M,NA,MA,F,Friday,1103,
MA321,NA,MA,A1,Tuesday,2203,
MA321,NA,MA,A1,Wednesday,2203,
MA321,NA,MA,A1,Thursday,2203,
MA321,NA,MA,A1,Monday,2203,
MA351,NA,MA,B1,Monday,2203,
MA351,NA,MA,B1,Tuesday,2203,
MA351,NA,MA,B1,Wednesday,2203,
MA351,NA,MA,B1,Friday,2203,
MA373,NA,MA,E1,Tuesday,2203,Monday
MA373,NA,MA,E1,Wednesday,2203,Tuesday
MA373,NA,MA,E1,Thursday,2203,Wednesday
MA373,NA,MA,E1,Friday,2203,Thursday
MA312M,NA,MA,G,Monday,1103,Friday
MA312M,NA,MA,G,Wednesday,1103,
MA312M,NA,MA,G,Friday,1103,
MA473,NA,MA,B,Monday,2101,
MA473,NA,MA,B,Tuesday,2101,
MA473,NA,MA,B,Wednesday,2101,
MA502,NA,MA,D,Monday,2203,
MA502,NA,MA,D,Wednesday,2203,
MA502,NA,MA,D,Thursday,2203,
MA502,NA,MA,D,Friday,2203,
MA505,NA,MA,E,Tuesday,1104,
MA505,NA,MA,E,Wednesday,1104,
MA505,NA,MA,E,Thursday,1104,
MA505,NA,MA,E,Friday,1104,
MA513,NA,MA,C,Monday,2203,
MA513,NA,MA,C,Tuesday,2203,
MA513,NA,MA,C,Thursday,2203,
MA513,NA,MA,C,Friday,2203,
MA561,NA,MA,C1,,,
